epoch,train/loss_ce,val/loss_ce,val/acc,stage,device,precompute_kg_multihop,kg_hops,kg_embed_method,kg_subtree_pool_method,kg_relation_pool_method,kg_path_max_paths,primekg_dir,star_meta_path,batch_size,input_embed_dim,embedding_size,gat_depth,gat_hidden_dim,num_factors,dropout,model_variant,run_training,epochs,learning_rate,weight_decay,lambda_div,lambda_sp,label_smoothing,warmup_epochs,analysis_output_dir,seed,kg_relation_limit,selection_metric,early_stopping_patience,early_stopping_min_delta,run_name,relation_limit,kg_source_dir,kg_source_key,num_kg_relations,d_kg
41,3.050199970991715,3.0096031994798818,0.3056768558951965,2,cuda,True,2,path_attn,match,match,64,/home/jethrocsau/scGNN-Factors/data/primekgpp_grace_redaf,data/star_graphs_meta.json,16,512,64,1,168,1,0.3,target_plus_context_kg,True,500,0.0001,0.001,0.0001,0.0001,0.05,20,/home/jethrocsau/scGNN-Factors/results/single_variant_runs/grace_redaf/target_plus_context_kg_path_attn_hop2_relall,42,0,val/loss_ce,30,0.001,single_run,all,/home/jethrocsau/scGNN-Factors/data/primekgpp_grace_redaf,grace_redaf,64,256
42,3.0001496024753735,2.975810597557168,0.2663755458515284,2,cuda,True,2,path_attn,match,match,64,/home/jethrocsau/scGNN-Factors/data/primekgpp_grace_redaf,data/star_graphs_meta.json,16,512,64,1,168,1,0.3,target_plus_context_kg,True,500,0.0001,0.001,0.0001,0.0001,0.05,20,/home/jethrocsau/scGNN-Factors/results/single_variant_runs/grace_redaf/target_plus_context_kg_path_attn_hop2_relall,42,0,val/loss_ce,30,0.001,single_run,all,/home/jethrocsau/scGNN-Factors/data/primekgpp_grace_redaf,grace_redaf,64,256
43,2.956832168413245,3.1490565855950767,0.20087336244541484,2,cuda,True,2,path_attn,match,match,64,/home/jethrocsau/scGNN-Factors/data/primekgpp_grace_redaf,data/star_graphs_meta.json,16,512,64,1,168,1,0.3,target_plus_context_kg,True,500,0.0001,0.001,0.0001,0.0001,0.05,20,/home/jethrocsau/scGNN-Factors/results/single_variant_runs/grace_redaf/target_plus_context_kg_path_attn_hop2_relall,42,0,val/loss_ce,30,0.001,single_run,all,/home/jethrocsau/scGNN-Factors/data/primekgpp_grace_redaf,grace_redaf,64,256
44,2.925872626511947,2.9323678204065846,0.26200873362445415,2,cuda,True,2,path_attn,match,match,64,/home/jethrocsau/scGNN-Factors/data/primekgpp_grace_redaf,data/star_graphs_meta.json,16,512,64,1,168,1,0.3,target_plus_context_kg,True,500,0.0001,0.001,0.0001,0.0001,0.05,20,/home/jethrocsau/scGNN-Factors/results/single_variant_runs/grace_redaf/target_plus_context_kg_path_attn_hop2_relall,42,0,val/loss_ce,30,0.001,single_run,all,/home/jethrocsau/scGNN-Factors/data/primekgpp_grace_redaf,grace_redaf,64,256
45,2.850363194424173,2.84699624074078,0.34934497816593885,2,cuda,True,2,path_attn,match,match,64,/home/jethrocsau/scGNN-Factors/data/primekgpp_grace_redaf,data/star_graphs_meta.json,16,512,64,1,168,1,0.3,target_plus_context_kg,True,500,0.0001,0.001,0.0001,0.0001,0.05,20,/home/jethrocsau/scGNN-Factors/results/single_variant_runs/grace_redaf/target_plus_context_kg_path_attn_hop2_relall,42,0,val/loss_ce,30,0.001,single_run,all,/home/jethrocsau/scGNN-Factors/data/primekgpp_grace_redaf,grace_redaf,64,256
46,2.7772655155347743,2.817444255778883,0.3406113537117904,2,cuda,True,2,path_attn,match,match,64,/home/jethrocsau/scGNN-Factors/data/primekgpp_grace_redaf,data/star_graphs_meta.json,16,512,64,1,168,1,0.3,target_plus_context_kg,True,500,0.0001,0.001,0.0001,0.0001,0.05,20,/home/jethrocsau/scGNN-Factors/results/single_variant_runs/grace_redaf/target_plus_context_kg_path_attn_hop2_relall,42,0,val/loss_ce,30,0.001,single_run,all,/home/jethrocsau/scGNN-Factors/data/primekgpp_grace_redaf,grace_redaf,64,256
47,2.8010088734004808,2.8115087346739123,0.3406113537117904,2,cuda,True,2,path_attn,match,match,64,/home/jethrocsau/scGNN-Factors/data/primekgpp_grace_redaf,data/star_graphs_meta.json,16,512,64,1,168,1,0.3,target_plus_context_kg,True,500,0.0001,0.001,0.0001,0.0001,0.05,20,/home/jethrocsau/scGNN-Factors/results/single_variant_runs/grace_redaf/target_plus_context_kg_path_attn_hop2_relall,42,0,val/loss_ce,30,0.001,single_run,all,/home/jethrocsau/scGNN-Factors/data/primekgpp_grace_redaf,grace_redaf,64,256
48,2.7203010870062787,2.923828483148433,0.2663755458515284,2,cuda,True,2,path_attn,match,match,64,/home/jethrocsau/scGNN-Factors/data/primekgpp_grace_redaf,data/star_graphs_meta.json,16,512,64,1,168,1,0.3,target_plus_context_kg,True,500,0.0001,0.001,0.0001,0.0001,0.05,20,/home/jethrocsau/scGNN-Factors/results/single_variant_runs/grace_redaf/target_plus_context_kg_path_attn_hop2_relall,42,0,val/loss_ce,30,0.001,single_run,all,/home/jethrocsau/scGNN-Factors/data/primekgpp_grace_redaf,grace_redaf,64,256
49,2.6878481097843334,2.75627802865474,0.34497816593886466,2,cuda,True,2,path_attn,match,match,64,/home/jethrocsau/scGNN-Factors/data/primekgpp_grace_redaf,data/star_graphs_meta.json,16,512,64,1,168,1,0.3,target_plus_context_kg,True,500,0.0001,0.001,0.0001,0.0001,0.05,20,/home/jethrocsau/scGNN-Factors/results/single_variant_runs/grace_redaf/target_plus_context_kg_path_attn_hop2_relall,42,0,val/loss_ce,30,0.001,single_run,all,/home/jethrocsau/scGNN-Factors/data/primekgpp_grace_redaf,grace_redaf,64,256
50,2.6170821666717528,2.7951818647342996,0.29694323144104806,2,cuda,True,2,path_attn,match,match,64,/home/jethrocsau/scGNN-Factors/data/primekgpp_grace_redaf,data/star_graphs_meta.json,16,512,64,1,168,1,0.3,target_plus_context_kg,True,500,0.0001,0.001,0.0001,0.0001,0.05,20,/home/jethrocsau/scGNN-Factors/results/single_variant_runs/grace_redaf/target_plus_context_kg_path_attn_hop2_relall,42,0,val/loss_ce,30,0.001,single_run,all,/home/jethrocsau/scGNN-Factors/data/primekgpp_grace_redaf,grace_redaf,64,256
51,2.601069989411727,2.682823175946698,0.35807860262008734,2,cuda,True,2,path_attn,match,match,64,/home/jethrocsau/scGNN-Factors/data/primekgpp_grace_redaf,data/star_graphs_meta.json,16,512,64,1,168,1,0.3,target_plus_context_kg,True,500,0.0001,0.001,0.0001,0.0001,0.05,20,/home/jethrocsau/scGNN-Factors/results/single_variant_runs/grace_redaf/target_plus_context_kg_path_attn_hop2_relall,42,0,val/loss_ce,30,0.001,single_run,all,/home/jethrocsau/scGNN-Factors/data/primekgpp_grace_redaf,grace_redaf,64,256
52,2.564397797377213,2.6361166119054937,0.36681222707423583,2,cuda,True,2,path_attn,match,match,64,/home/jethrocsau/scGNN-Factors/data/primekgpp_grace_redaf,data/star_graphs_meta.json,16,512,64,1,168,1,0.3,target_plus_context_kg,True,500,0.0001,0.001,0.0001,0.0001,0.05,20,/home/jethrocsau/scGNN-Factors/results/single_variant_runs/grace_redaf/target_plus_context_kg_path_attn_hop2_relall,42,0,val/loss_ce,30,0.001,single_run,all,/home/jethrocsau/scGNN-Factors/data/primekgpp_grace_redaf,grace_redaf,64,256
53,2.5230306086332903,2.6185488357294076,0.42358078602620086,2,cuda,True,2,path_attn,match,match,64,/home/jethrocsau/scGNN-Factors/data/primekgpp_grace_redaf,data/star_graphs_meta.json,16,512,64,1,168,1,0.3,target_plus_context_kg,True,500,0.0001,0.001,0.0001,0.0001,0.05,20,/home/jethrocsau/scGNN-Factors/results/single_variant_runs/grace_redaf/target_plus_context_kg_path_attn_hop2_relall,42,0,val/loss_ce,30,0.001,single_run,all,/home/jethrocsau/scGNN-Factors/data/primekgpp_grace_redaf,grace_redaf,64,256
54,2.523695829640264,2.8200917337659144,0.34934497816593885,2,cuda,True,2,path_attn,match,match,64,/home/jethrocsau/scGNN-Factors/data/primekgpp_grace_redaf,data/star_graphs_meta.json,16,512,64,1,168,1,0.3,target_plus_context_kg,True,500,0.0001,0.001,0.0001,0.0001,0.05,20,/home/jethrocsau/scGNN-Factors/results/single_variant_runs/grace_redaf/target_plus_context_kg_path_attn_hop2_relall,42,0,val/loss_ce,30,0.001,single_run,all,/home/jethrocsau/scGNN-Factors/data/primekgpp_grace_redaf,grace_redaf,64,256
55,2.489082272156425,2.704408409293562,0.3799126637554585,2,cuda,True,2,path_attn,match,match,64,/home/jethrocsau/scGNN-Factors/data/primekgpp_grace_redaf,data/star_graphs_meta.json,16,512,64,1,168,1,0.3,target_plus_context_kg,True,500,0.0001,0.001,0.0001,0.0001,0.05,20,/home/jethrocsau/scGNN-Factors/results/single_variant_runs/grace_redaf/target_plus_context_kg_path_attn_hop2_relall,42,0,val/loss_ce,30,0.001,single_run,all,/home/jethrocsau/scGNN-Factors/data/primekgpp_grace_redaf,grace_redaf,64,256
56,2.41851065573485,2.552472625757409,0.44541484716157204,2,cuda,True,2,path_attn,match,match,64,/home/jethrocsau/scGNN-Factors/data/primekgpp_grace_redaf,data/star_graphs_meta.json,16,512,64,1,168,1,0.3,target_plus_context_kg,True,500,0.0001,0.001,0.0001,0.0001,0.05,20,/home/jethrocsau/scGNN-Factors/results/single_variant_runs/grace_redaf/target_plus_context_kg_path_attn_hop2_relall,42,0,val/loss_ce,30,0.001,single_run,all,/home/jethrocsau/scGNN-Factors/data/primekgpp_grace_redaf,grace_redaf,64,256
57,2.3522998488467675,2.5238276152631602,0.44541484716157204,2,cuda,True,2,path_attn,match,match,64,/home/jethrocsau/scGNN-Factors/data/primekgpp_grace_redaf,data/star_graphs_meta.json,16,512,64,1,168,1,0.3,target_plus_context_kg,True,500,0.0001,0.001,0.0001,0.0001,0.05,20,/home/jethrocsau/scGNN-Factors/results/single_variant_runs/grace_redaf/target_plus_context_kg_path_attn_hop2_relall,42,0,val/loss_ce,30,0.001,single_run,all,/home/jethrocsau/scGNN-Factors/data/primekgpp_grace_redaf,grace_redaf,64,256
58,2.3511276815248574,2.4819132657030263,0.47161572052401746,2,cuda,True,2,path_attn,match,match,64,/home/jethrocsau/scGNN-Factors/data/primekgpp_grace_redaf,data/star_graphs_meta.json,16,512,64,1,168,1,0.3,target_plus_context_kg,True,500,0.0001,0.001,0.0001,0.0001,0.05,20,/home/jethrocsau/scGNN-Factors/results/single_variant_runs/grace_redaf/target_plus_context_kg_path_attn_hop2_relall,42,0,val/loss_ce,30,0.001,single_run,all,/home/jethrocsau/scGNN-Factors/data/primekgpp_grace_redaf,grace_redaf,64,256
59,2.3416957326557326,2.4969507159103994,0.44541484716157204,2,cuda,True,2,path_attn,match,match,64,/home/jethrocsau/scGNN-Factors/data/primekgpp_grace_redaf,data/star_graphs_meta.json,16,512,64,1,168,1,0.3,target_plus_context_kg,True,500,0.0001,0.001,0.0001,0.0001,0.05,20,/home/jethrocsau/scGNN-Factors/results/single_variant_runs/grace_redaf/target_plus_context_kg_path_attn_hop2_relall,42,0,val/loss_ce,30,0.001,single_run,all,/home/jethrocsau/scGNN-Factors/data/primekgpp_grace_redaf,grace_redaf,64,256
60,2.2418085087900574,2.4307995977360086,0.4672489082969432,2,cuda,True,2,path_attn,match,match,64,/home/jethrocsau/scGNN-Factors/data/primekgpp_grace_redaf,data/star_graphs_meta.json,16,512,64,1,168,1,0.3,target_plus_context_kg,True,500,0.0001,0.001,0.0001,0.0001,0.05,20,/home/jethrocsau/scGNN-Factors/results/single_variant_runs/grace_redaf/target_plus_context_kg_path_attn_hop2_relall,42,0,val/loss_ce,30,0.001,single_run,all,/home/jethrocsau/scGNN-Factors/data/primekgpp_grace_redaf,grace_redaf,64,256
61,2.2083185299583104,2.376111123239109,0.4890829694323144,2,cuda,True,2,path_attn,match,match,64,/home/jethrocsau/scGNN-Factors/data/primekgpp_grace_redaf,data/star_graphs_meta.json,16,512,64,1,168,1,0.3,target_plus_context_kg,True,500,0.0001,0.001,0.0001,0.0001,0.05,20,/home/jethrocsau/scGNN-Factors/results/single_variant_runs/grace_redaf/target_plus_context_kg_path_attn_hop2_relall,42,0,val/loss_ce,30,0.001,single_run,all,/home/jethrocsau/scGNN-Factors/data/primekgpp_grace_redaf,grace_redaf,64,256
62,2.2343421407367874,2.4517583800195086,0.4672489082969432,2,cuda,True,2,path_attn,match,match,64,/home/jethrocsau/scGNN-Factors/data/primekgpp_grace_redaf,data/star_graphs_meta.json,16,512,64,1,168,1,0.3,target_plus_context_kg,True,500,0.0001,0.001,0.0001,0.0001,0.05,20,/home/jethrocsau/scGNN-Factors/results/single_variant_runs/grace_redaf/target_plus_context_kg_path_attn_hop2_relall,42,0,val/loss_ce,30,0.001,single_run,all,/home/jethrocsau/scGNN-Factors/data/primekgpp_grace_redaf,grace_redaf,64,256
63,2.1951474241588427,2.4249146640561032,0.5021834061135371,2,cuda,True,2,path_attn,match,match,64,/home/jethrocsau/scGNN-Factors/data/primekgpp_grace_redaf,data/star_graphs_meta.json,16,512,64,1,168,1,0.3,target_plus_context_kg,True,500,0.0001,0.001,0.0001,0.0001,0.05,20,/home/jethrocsau/scGNN-Factors/results/single_variant_runs/grace_redaf/target_plus_context_kg_path_attn_hop2_relall,42,0,val/loss_ce,30,0.001,single_run,all,/home/jethrocsau/scGNN-Factors/data/primekgpp_grace_redaf,grace_redaf,64,256
64,2.198123812675476,2.5911691735405067,0.3406113537117904,2,cuda,True,2,path_attn,match,match,64,/home/jethrocsau/scGNN-Factors/data/primekgpp_grace_redaf,data/star_graphs_meta.json,16,512,64,1,168,1,0.3,target_plus_context_kg,True,500,0.0001,0.001,0.0001,0.0001,0.05,20,/home/jethrocsau/scGNN-Factors/results/single_variant_runs/grace_redaf/target_plus_context_kg_path_attn_hop2_relall,42,0,val/loss_ce,30,0.001,single_run,all,/home/jethrocsau/scGNN-Factors/data/primekgpp_grace_redaf,grace_redaf,64,256
65,2.1260206357292506,2.333259145765846,0.4759825327510917,2,cuda,True,2,path_attn,match,match,64,/home/jethrocsau/scGNN-Factors/data/primekgpp_grace_redaf,data/star_graphs_meta.json,16,512,64,1,168,1,0.3,target_plus_context_kg,True,500,0.0001,0.001,0.0001,0.0001,0.05,20,/home/jethrocsau/scGNN-Factors/results/single_variant_runs/grace_redaf/target_plus_context_kg_path_attn_hop2_relall,42,0,val/loss_ce,30,0.001,single_run,all,/home/jethrocsau/scGNN-Factors/data/primekgpp_grace_redaf,grace_redaf,64,256
66,2.1044010307477867,2.245819846094956,0.5458515283842795,2,cuda,True,2,path_attn,match,match,64,/home/jethrocsau/scGNN-Factors/data/primekgpp_grace_redaf,data/star_graphs_meta.json,16,512,64,1,168,1,0.3,target_plus_context_kg,True,500,0.0001,0.001,0.0001,0.0001,0.05,20,/home/jethrocsau/scGNN-Factors/results/single_variant_runs/grace_redaf/target_plus_context_kg_path_attn_hop2_relall,42,0,val/loss_ce,30,0.001,single_run,all,/home/jethrocsau/scGNN-Factors/data/primekgpp_grace_redaf,grace_redaf,64,256
67,2.0218860999397608,2.2081657887546258,0.5633187772925764,2,cuda,True,2,path_attn,match,match,64,/home/jethrocsau/scGNN-Factors/data/primekgpp_grace_redaf,data/star_graphs_meta.json,16,512,64,1,168,1,0.3,target_plus_context_kg,True,500,0.0001,0.001,0.0001,0.0001,0.05,20,/home/jethrocsau/scGNN-Factors/results/single_variant_runs/grace_redaf/target_plus_context_kg_path_attn_hop2_relall,42,0,val/loss_ce,30,0.001,single_run,all,/home/jethrocsau/scGNN-Factors/data/primekgpp_grace_redaf,grace_redaf,64,256
68,1.9970226422600124,2.327715460910547,0.49344978165938863,2,cuda,True,2,path_attn,match,match,64,/home/jethrocsau/scGNN-Factors/data/primekgpp_grace_redaf,data/star_graphs_meta.json,16,512,64,1,168,1,0.3,target_plus_context_kg,True,500,0.0001,0.001,0.0001,0.0001,0.05,20,/home/jethrocsau/scGNN-Factors/results/single_variant_runs/grace_redaf/target_plus_context_kg_path_attn_hop2_relall,42,0,val/loss_ce,30,0.001,single_run,all,/home/jethrocsau/scGNN-Factors/data/primekgpp_grace_redaf,grace_redaf,64,256
69,1.989568831609643,2.3982286448041426,0.43231441048034935,2,cuda,True,2,path_attn,match,match,64,/home/jethrocsau/scGNN-Factors/data/primekgpp_grace_redaf,data/star_graphs_meta.json,16,512,64,1,168,1,0.3,target_plus_context_kg,True,500,0.0001,0.001,0.0001,0.0001,0.05,20,/home/jethrocsau/scGNN-Factors/results/single_variant_runs/grace_redaf/target_plus_context_kg_path_attn_hop2_relall,42,0,val/loss_ce,30,0.001,single_run,all,/home/jethrocsau/scGNN-Factors/data/primekgpp_grace_redaf,grace_redaf,64,256
70,1.9637854679771092,2.2457933956879197,0.5414847161572053,2,cuda,True,2,path_attn,match,match,64,/home/jethrocsau/scGNN-Factors/data/primekgpp_grace_redaf,data/star_graphs_meta.json,16,512,64,1,168,1,0.3,target_plus_context_kg,True,500,0.0001,0.001,0.0001,0.0001,0.05,20,/home/jethrocsau/scGNN-Factors/results/single_variant_runs/grace_redaf/target_plus_context_kg_path_attn_hop2_relall,42,0,val/loss_ce,30,0.001,single_run,all,/home/jethrocsau/scGNN-Factors/data/primekgpp_grace_redaf,grace_redaf,64,256
71,1.9288662350696066,2.186274696125214,0.537117903930131,2,cuda,True,2,path_attn,match,match,64,/home/jethrocsau/scGNN-Factors/data/primekgpp_grace_redaf,data/star_graphs_meta.json,16,512,64,1,168,1,0.3,target_plus_context_kg,True,500,0.0001,0.001,0.0001,0.0001,0.05,20,/home/jethrocsau/scGNN-Factors/results/single_variant_runs/grace_redaf/target_plus_context_kg_path_attn_hop2_relall,42,0,val/loss_ce,30,0.001,single_run,all,/home/jethrocsau/scGNN-Factors/data/primekgpp_grace_redaf,grace_redaf,64,256
72,1.9030803607857745,2.1832331923938733,0.5327510917030568,2,cuda,True,2,path_attn,match,match,64,/home/jethrocsau/scGNN-Factors/data/primekgpp_grace_redaf,data/star_graphs_meta.json,16,512,64,1,168,1,0.3,target_plus_context_kg,True,500,0.0001,0.001,0.0001,0.0001,0.05,20,/home/jethrocsau/scGNN-Factors/results/single_variant_runs/grace_redaf/target_plus_context_kg_path_attn_hop2_relall,42,0,val/loss_ce,30,0.001,single_run,all,/home/jethrocsau/scGNN-Factors/data/primekgpp_grace_redaf,grace_redaf,64,256
73,1.8704641352529112,2.112139809079566,0.5851528384279476,2,cuda,True,2,path_attn,match,match,64,/home/jethrocsau/scGNN-Factors/data/primekgpp_grace_redaf,data/star_graphs_meta.json,16,512,64,1,168,1,0.3,target_plus_context_kg,True,500,0.0001,0.001,0.0001,0.0001,0.05,20,/home/jethrocsau/scGNN-Factors/results/single_variant_runs/grace_redaf/target_plus_context_kg_path_attn_hop2_relall,42,0,val/loss_ce,30,0.001,single_run,all,/home/jethrocsau/scGNN-Factors/data/primekgpp_grace_redaf,grace_redaf,64,256
74,1.8143651060436083,2.1073895906256794,0.6026200873362445,2,cuda,True,2,path_attn,match,match,64,/home/jethrocsau/scGNN-Factors/data/primekgpp_grace_redaf,data/star_graphs_meta.json,16,512,64,1,168,1,0.3,target_plus_context_kg,True,500,0.0001,0.001,0.0001,0.0001,0.05,20,/home/jethrocsau/scGNN-Factors/results/single_variant_runs/grace_redaf/target_plus_context_kg_path_attn_hop2_relall,42,0,val/loss_ce,30,0.001,single_run,all,/home/jethrocsau/scGNN-Factors/data/primekgpp_grace_redaf,grace_redaf,64,256
75,1.7971631993418153,2.16531893467799,0.5764192139737991,2,cuda,True,2,path_attn,match,match,64,/home/jethrocsau/scGNN-Factors/data/primekgpp_grace_redaf,data/star_graphs_meta.json,16,512,64,1,168,1,0.3,target_plus_context_kg,True,500,0.0001,0.001,0.0001,0.0001,0.05,20,/home/jethrocsau/scGNN-Factors/results/single_variant_runs/grace_redaf/target_plus_context_kg_path_attn_hop2_relall,42,0,val/loss_ce,30,0.001,single_run,all,/home/jethrocsau/scGNN-Factors/data/primekgpp_grace_redaf,grace_redaf,64,256
76,1.7579616131989853,2.1265036185235435,0.5895196506550219,2,cuda,True,2,path_attn,match,match,64,/home/jethrocsau/scGNN-Factors/data/primekgpp_grace_redaf,data/star_graphs_meta.json,16,512,64,1,168,1,0.3,target_plus_context_kg,True,500,0.0001,0.001,0.0001,0.0001,0.05,20,/home/jethrocsau/scGNN-Factors/results/single_variant_runs/grace_redaf/target_plus_context_kg_path_attn_hop2_relall,42,0,val/loss_ce,30,0.001,single_run,all,/home/jethrocsau/scGNN-Factors/data/primekgpp_grace_redaf,grace_redaf,64,256
77,1.7330385011175404,2.2003864294576854,0.5327510917030568,2,cuda,True,2,path_attn,match,match,64,/home/jethrocsau/scGNN-Factors/data/primekgpp_grace_redaf,data/star_graphs_meta.json,16,512,64,1,168,1,0.3,target_plus_context_kg,True,500,0.0001,0.001,0.0001,0.0001,0.05,20,/home/jethrocsau/scGNN-Factors/results/single_variant_runs/grace_redaf/target_plus_context_kg_path_attn_hop2_relall,42,0,val/loss_ce,30,0.001,single_run,all,/home/jethrocsau/scGNN-Factors/data/primekgpp_grace_redaf,grace_redaf,64,256
78,1.7297655271447223,2.017980043544519,0.5720524017467249,2,cuda,True,2,path_attn,match,match,64,/home/jethrocsau/scGNN-Factors/data/primekgpp_grace_redaf,data/star_graphs_meta.json,16,512,64,1,168,1,0.3,target_plus_context_kg,True,500,0.0001,0.001,0.0001,0.0001,0.05,20,/home/jethrocsau/scGNN-Factors/results/single_variant_runs/grace_redaf/target_plus_context_kg_path_attn_hop2_relall,42,0,val/loss_ce,30,0.001,single_run,all,/home/jethrocsau/scGNN-Factors/data/primekgpp_grace_redaf,grace_redaf,64,256
79,1.7430723563484523,2.0921352680073033,0.5851528384279476,2,cuda,True,2,path_attn,match,match,64,/home/jethrocsau/scGNN-Factors/data/primekgpp_grace_redaf,data/star_graphs_meta.json,16,512,64,1,168,1,0.3,target_plus_context_kg,True,500,0.0001,0.001,0.0001,0.0001,0.05,20,/home/jethrocsau/scGNN-Factors/results/single_variant_runs/grace_redaf/target_plus_context_kg_path_attn_hop2_relall,42,0,val/loss_ce,30,0.001,single_run,all,/home/jethrocsau/scGNN-Factors/data/primekgpp_grace_redaf,grace_redaf,64,256
80,1.7237148512964664,2.0286636352539062,0.5851528384279476,2,cuda,True,2,path_attn,match,match,64,/home/jethrocsau/scGNN-Factors/data/primekgpp_grace_redaf,data/star_graphs_meta.json,16,512,64,1,168,1,0.3,target_plus_context_kg,True,500,0.0001,0.001,0.0001,0.0001,0.05,20,/home/jethrocsau/scGNN-Factors/results/single_variant_runs/grace_redaf/target_plus_context_kg_path_attn_hop2_relall,42,0,val/loss_ce,30,0.001,single_run,all,/home/jethrocsau/scGNN-Factors/data/primekgpp_grace_redaf,grace_redaf,64,256
81,1.6341584941615228,2.0019565451093118,0.6069868995633187,2,cuda,True,2,path_attn,match,match,64,/home/jethrocsau/scGNN-Factors/data/primekgpp_grace_redaf,data/star_graphs_meta.json,16,512,64,1,168,1,0.3,target_plus_context_kg,True,500,0.0001,0.001,0.0001,0.0001,0.05,20,/home/jethrocsau/scGNN-Factors/results/single_variant_runs/grace_redaf/target_plus_context_kg_path_attn_hop2_relall,42,0,val/loss_ce,30,0.001,single_run,all,/home/jethrocsau/scGNN-Factors/data/primekgpp_grace_redaf,grace_redaf,64,256
82,1.6207030638404514,2.0176229945436837,0.5895196506550219,2,cuda,True,2,path_attn,match,match,64,/home/jethrocsau/scGNN-Factors/data/primekgpp_grace_redaf,data/star_graphs_meta.json,16,512,64,1,168,1,0.3,target_plus_context_kg,True,500,0.0001,0.001,0.0001,0.0001,0.05,20,/home/jethrocsau/scGNN-Factors/results/single_variant_runs/grace_redaf/target_plus_context_kg_path_attn_hop2_relall,42,0,val/loss_ce,30,0.001,single_run,all,/home/jethrocsau/scGNN-Factors/data/primekgpp_grace_redaf,grace_redaf,64,256
83,1.6766778064810712,1.9198834521281147,0.6200873362445415,2,cuda,True,2,path_attn,match,match,64,/home/jethrocsau/scGNN-Factors/data/primekgpp_grace_redaf,data/star_graphs_meta.json,16,512,64,1,168,1,0.3,target_plus_context_kg,True,500,0.0001,0.001,0.0001,0.0001,0.05,20,/home/jethrocsau/scGNN-Factors/results/single_variant_runs/grace_redaf/target_plus_context_kg_path_attn_hop2_relall,42,0,val/loss_ce,30,0.001,single_run,all,/home/jethrocsau/scGNN-Factors/data/primekgpp_grace_redaf,grace_redaf,64,256
84,1.5803770987883858,2.15867904180002,0.5502183406113537,2,cuda,True,2,path_attn,match,match,64,/home/jethrocsau/scGNN-Factors/data/primekgpp_grace_redaf,data/star_graphs_meta.json,16,512,64,1,168,1,0.3,target_plus_context_kg,True,500,0.0001,0.001,0.0001,0.0001,0.05,20,/home/jethrocsau/scGNN-Factors/results/single_variant_runs/grace_redaf/target_plus_context_kg_path_attn_hop2_relall,42,0,val/loss_ce,30,0.001,single_run,all,/home/jethrocsau/scGNN-Factors/data/primekgpp_grace_redaf,grace_redaf,64,256
85,1.5755783734114275,1.969665905794202,0.6069868995633187,2,cuda,True,2,path_attn,match,match,64,/home/jethrocsau/scGNN-Factors/data/primekgpp_grace_redaf,data/star_graphs_meta.json,16,512,64,1,168,1,0.3,target_plus_context_kg,True,500,0.0001,0.001,0.0001,0.0001,0.05,20,/home/jethrocsau/scGNN-Factors/results/single_variant_runs/grace_redaf/target_plus_context_kg_path_attn_hop2_relall,42,0,val/loss_ce,30,0.001,single_run,all,/home/jethrocsau/scGNN-Factors/data/primekgpp_grace_redaf,grace_redaf,64,256
86,1.5438968461492788,2.1552199265842353,0.5109170305676856,2,cuda,True,2,path_attn,match,match,64,/home/jethrocsau/scGNN-Factors/data/primekgpp_grace_redaf,data/star_graphs_meta.json,16,512,64,1,168,1,0.3,target_plus_context_kg,True,500,0.0001,0.001,0.0001,0.0001,0.05,20,/home/jethrocsau/scGNN-Factors/results/single_variant_runs/grace_redaf/target_plus_context_kg_path_attn_hop2_relall,42,0,val/loss_ce,30,0.001,single_run,all,/home/jethrocsau/scGNN-Factors/data/primekgpp_grace_redaf,grace_redaf,64,256
87,1.5444646223731664,1.9238771236619574,0.6244541484716157,2,cuda,True,2,path_attn,match,match,64,/home/jethrocsau/scGNN-Factors/data/primekgpp_grace_redaf,data/star_graphs_meta.json,16,512,64,1,168,1,0.3,target_plus_context_kg,True,500,0.0001,0.001,0.0001,0.0001,0.05,20,/home/jethrocsau/scGNN-Factors/results/single_variant_runs/grace_redaf/target_plus_context_kg_path_attn_hop2_relall,42,0,val/loss_ce,30,0.001,single_run,all,/home/jethrocsau/scGNN-Factors/data/primekgpp_grace_redaf,grace_redaf,64,256
88,1.5299980992856232,2.070260834485683,0.5545851528384279,2,cuda,True,2,path_attn,match,match,64,/home/jethrocsau/scGNN-Factors/data/primekgpp_grace_redaf,data/star_graphs_meta.json,16,512,64,1,168,1,0.3,target_plus_context_kg,True,500,0.0001,0.001,0.0001,0.0001,0.05,20,/home/jethrocsau/scGNN-Factors/results/single_variant_runs/grace_redaf/target_plus_context_kg_path_attn_hop2_relall,42,0,val/loss_ce,30,0.001,single_run,all,/home/jethrocsau/scGNN-Factors/data/primekgpp_grace_redaf,grace_redaf,64,256
89,1.4805439886839493,1.9633068814548342,0.5764192139737991,2,cuda,True,2,path_attn,match,match,64,/home/jethrocsau/scGNN-Factors/data/primekgpp_grace_redaf,data/star_graphs_meta.json,16,512,64,1,168,1,0.3,target_plus_context_kg,True,500,0.0001,0.001,0.0001,0.0001,0.05,20,/home/jethrocsau/scGNN-Factors/results/single_variant_runs/grace_redaf/target_plus_context_kg_path_attn_hop2_relall,42,0,val/loss_ce,30,0.001,single_run,all,/home/jethrocsau/scGNN-Factors/data/primekgpp_grace_redaf,grace_redaf,64,256
