drug,canonical_smiles,x_index,x_id,x_name
Entrectinib,CN1CCN(CC1)C2=CC(=C(C=C2)C(=O)NC3=NNC4=C3C=C(C=C4)CC5=CC(=CC(=C5)F)F)NC6CCOCC6,15673,DB11986,Entrectinib
Capmatinib,CNC(=O)C1=C(C=C(C=C1)C2=NN3C(=CN=C3N=C2)CC4=CC5=C(C=C4)N=CC=C5)F,15388,DB11791,Capmatinib
Apalutamide,CNC(=O)C1=C(C=C(C=C1)N2C(=S)N(C(=O)C23CCC3)C4=CC(=C(N=C4)C#N)C(F)(F)F)F,15668,DB11901,Apalutamide
Regorafenib,CNC(=O)C1=NC=CC(=C1)OC2=CC(=C(C=C2)NC(=O)NC3=CC(=C(C=C3)Cl)C(F)(F)F)F,15599,DB08896,Regorafenib
Clopidogrel,COC(=O)C(C1=CC=CC=C1Cl)N2CCC3=C(C2)C=CS3,14969,DB00758,Clopidogrel
Dimethyl fumarate,COC(=O)C=CC(=O)OC,20126,DB08908,Dimethyl fumarate
Mebendazole,COC(=O)NC1=NC2=C(N1)C=C(C=C2)C(=O)C3=CC=CC=C3,15867,DB00643,Mebendazole
Tranilast,COC1=C(C=C(C=C1)C=CC(=O)NC2=CC=CC=C2C(=O)O)OC,15586,DB07615,Tranilast
Gefitinib,COC1=C(C=C2C(=C1)N=CN=C2NC3=CC(=C(C=C3)F)Cl)OCCCN4CCOCC4,14155,DB00317,Gefitinib
Ferulic acid,COC1=C(C=CC(=C1)C=CC(=O)O)O,20673,DB07767,Ferulic acid
Amsacrine,COC1=C(C=CC(=C1)NS(=O)(=O)C)NC2=C3C=CC=CC3=NC4=CC=CC=C42,16301,DB00276,Amsacrine
Fluvoxamine,COCCCCC(=NOCCN)C1=CC=C(C=C1)C(F)(F)F,15073,DB00176,Fluvoxamine
Erlotinib,COCCOC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC=CC(=C3)C#C)OCCOC,14187,DB00530,Erlotinib
Vismodegib,CS(=O)(=O)C1=CC(=C(C=C1)C(=O)NC2=CC(=C(C=C2)Cl)C3=CC=CC=N3)Cl,14401,DB08828,Vismodegib
Nimesulide,CS(=O)(=O)NC1=C(C=C(C=C1)[N+](=O)[O-])OC2=CC=CC=C2,15531,DB04743,Nimesulide
Busulfan,CS(=O)(=O)OCCCCOS(=O)(=O)C,14738,DB01008,Busulfan
Verteporfin,,20393,DB00460,Verteporfin
